country,year,sex,age,suicides_no,population,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Spain,2009,female,35-54 years,274,6917215,Spain2009,,"1,499,099,749,931",34470,Boomers
South Africa,2003,female,55-74 years,5,2154419,South Africa2003,,"175,256,916,996",4132,Silent
Switzerland,1998,female,5-14 years,2,408842,Switzerland1998,,"295,045,152,021",43872,Millenials
United Arab Emirates,2010,male,55-74 years,5,177232,United Arab Emirates2010,0.828,"289,787,338,325",36964,Silent
Mexico,1987,male,35-54 years,378,6187000,Mexico1987,,"140,263,387,027",2064,Silent
Barbados,2011,female,55-74 years,0,27506,Barbados2011,0.786,"4,660,900,000",17708,Boomers
Argentina,1987,female,5-14 years,14,3010700,Argentina1987,,"111,106,191,358",4026,Generation X
Hungary,2011,male,25-34 years,173,758588,Hungary2011,0.823,"140,782,064,609",14827,Millenials
Saint Vincent and Grenadines,2011,female,35-54 years,0,13447,Saint Vincent and Grenadines2011,0.713,"676,129,407",6759,Generation X
Guatemala,1988,female,15-24 years,14,857407,Guatemala1988,,"7,841,602,824",1074,Generation X
Uruguay,1994,female,25-34 years,7,225646,Uruguay1994,,"17,474,647,792",5984,Boomers
Bulgaria,2008,female,15-24 years,10,479334,Bulgaria2008,,"54,409,138,498",7487,Millenials
Mexico,2001,male,35-54 years,765,9614513,Mexico2001,,"756,706,300,590",8311,Boomers
Latvia,1996,female,75+ years,24,88100,Latvia1996,,"5,970,044,666",2526,G.I. Generation
Belgium,2012,female,25-34 years,45,715195,Belgium2012,0.889,"497,884,216,569",47678,Millenials
Spain,1987,female,75+ years,127,1261300,Spain1987,,"317,882,187,037",8727,G.I. Generation
France,2009,female,75+ years,464,3487831,France2009,,"2,690,222,283,968",45775,Silent
Aruba,2004,female,25-34 years,0,7102,Aruba2004,,"2,228,279,330",24133,Generation X
Bahrain,2013,female,75+ years,0,4859,Bahrain2013,0.821,"32,539,547,872",26793,Silent
Israel,1987,male,5-14 years,0,469400,Israel1987,,"40,946,424,370",10558,Generation X
Spain,1992,male,75+ years,390,812200,Spain1992,,"629,202,392,004",17005,G.I. Generation
Iceland,1995,female,25-34 years,2,20700,Iceland1995,0.826,"7,018,100,153",28680,Generation X
Cuba,2004,male,55-74 years,326,833139,Cuba2004,,"38,203,000,000",3611,Silent
Poland,1995,male,15-24 years,510,3082900,Poland1995,0.74,"142,137,319,588",3937,Generation X
Mauritius,2006,female,25-34 years,5,101903,Mauritius2006,,"7,028,803,366",6246,Generation X
Guatemala,1998,female,75+ years,2,72064,Guatemala1998,,"19,395,491,993",2091,G.I. Generation
Austria,2002,male,55-74 years,322,747406,Austria2002,,"213,377,771,504",27772,Silent
Saint Lucia,1998,female,35-54 years,2,14857,Saint Lucia1998,,"737,554,872",5407,Boomers
Kyrgyzstan,2001,male,25-34 years,92,382626,Kyrgyzstan2001,,"1,525,112,242",345,Generation X
Kuwait,2014,female,25-34 years,4,390934,Kuwait2014,0.816,"162,631,412,509",43774,Millenials
